Work Name,MET,Body,Strength,time
Ab Exercise (Moderate),3.8,Core,Medium,15
AB Rollout,8.0,Core,High,20
Arm Pulldown,4.0,Arms,Medium,15
Ashtanga Yoga,5.0,Full Body,Medium,15
Back Squat,6.0,Lower Body,High,15
Barbell Shoulder Press,5.5,Upper Body,Medium,15
Barbell Squat,6.0,Lower Body,High,15
Barefoot Walking,4.5,Lower Body,Medium,15
Bench Dips,3.0,Arms,Medium,10
Bench Press,5.0,Upper Body,Medium,15
Bent Over Barbell Row,5.5,Upper Body,Medium,15
Bent Over Lateral Raise,5.5,Upper Body,Medium,15
Bicep Curl,5.0,Arms,Medium,15
Biking,7.0,Lower Body,High,20
Bodybuilding (Moderate),5.0,Full Body,Medium,15
Box Jump,5.5,Lower Body,Medium,15
Boxing,7.8,Full Body,High,20
Bridge,3.5,Core,Medium,15
Burpee Test,7.0,Full Body,High,20
Cable Crossover,5.0,Upper Body,Medium,15
Cat Pose,3.5,Core,Medium,15
Chest Press,5.0,Upper Body,Medium,15
Conventional Deadlift,8.0,Full Body,High,20
Core Exercise,4.5,Core,Medium,15
Cross Crunch,4.5,Core,Medium,15
CrossFit,8.0,Full Body,High,20
Crunch (Moderate),5.0,Core,Medium,15
Deadlift,5.5,Full Body,Medium,15
Deep Line Dance,3.0,Full Body,Medium,10
Dips,5.5,Arms,Medium,15
Dumbbell Body Rotation,5.0,Core,Medium,15
Dumbbell Fly,5.5,Upper Body,Medium,15
Dumbbell Lifting,5.5,Arms,Medium,15
Dumbbell Press,5.0,Upper Body,Medium,15
Dumbbell Shoulder Press,5.5,Upper Body,Medium,15
Dumbbell Squat Press,7.0,Full Body,High,20
Elliptical,6.0,Lower Body,High,15
Foam Roller,3.0,Full Body,Medium,10
Front Pulldown,4.0,Upper Body,Medium,15
Front Raise,5.0,Upper Body,Medium,15
Full Squat,6.0,Lower Body,High,15
Goblet Squat,5.5,Lower Body,Medium,15
Grip Exercise,1.3,Arms,Low,10
Gym Ball Exercise,3.8,Full Body,Medium,15
Hammer Curl,5.0,Arms,Medium,15
Hanging Leg Raise,5.0,Core,Medium,15
Hanging on Bar,3.8,Core,Medium,15
Hip Abduction,5.0,Lower Body,Medium,15
Hip Thrust,6.0,Lower Body,High,15
Hollow Body Hold,3.0,Core,Medium,10
Incline Bench Press,5.0,Upper Body,Medium,15
Indoor Biking (Light),5.5,Lower Body,Medium,15
Interval Running,8.0,Lower Body,High,20
Jump Burpee Test,8.5,Full Body,High,20
Jump Squat,6.0,Lower Body,High,15
Kettlebell,5.5,Full Body,Medium,15
Lat Pulldown,5.0,Upper Body,Medium,15
Lateral Raise,5.0,Upper Body,Medium,15
Leg Curl,5.0,Lower Body,Medium,15
Leg Extension,5.0,Lower Body,Medium,15
Leg Kick Back,5.0,Lower Body,Medium,15
Leg Press,5.0,Lower Body,Medium,15
Leg Raise,3.4,Core,Medium,15
Lower Body Strength Training,5.0,Lower Body,Medium,15
Lunge (Moderate),3.8,Lower Body,Medium,15
Lying Walking,3.5,Lower Body,Medium,15
Marching in Place,2.0,Lower Body,Low,10
My Mountain Exercise,5.5,Full Body,Medium,15
One Arm Dumbbell Row,5.0,Upper Body,Medium,15
Pilates,3.0,Full Body,Medium,10
Pilates (Machine),5.0,Full Body,Medium,15
Plank,3.8,Core,Medium,15
Pull-Up (Chin-Up),5.0,Upper Body,Medium,15
Pull-Up (Moderate),3.8,Upper Body,Medium,15
Push-Up (Moderate),5.0,Upper Body,Medium,15
Rear Delt Machine,5.0,Upper Body,Medium,15
Resistance Exercise (Moderate),5.0,Full Body,Medium,15
Reverse Curl,5.0,Arms,Medium,15
Reverse Pec Deck Fly,4.0,Upper Body,Medium,15
Romanian Deadlift,5.0,Full Body,Medium,15
Rope Exercise,6.0,Full Body,High,15
Rowing,5.0,Full Body,Medium,15
Running/Walking,6.0,Lower Body,High,15
Russian Twist,4.0,Core,Medium,15
Seated Knee Up,5.0,Core,Medium,15
Seated Leg Lift,2.5,Core,Low,10
Seated Row,4.0,Upper Body,Medium,15
Side Bend,3.5,Core,Medium,15
Side Crunch,4.0,Core,Medium,15
Side Lateral Raise,5.0,Upper Body,Medium,15
Side Leg Raise,4.0,Lower Body,Medium,15
Side Lunge,5.5,Lower Body,Medium,15
Side Plank,3.8,Core,Medium,15
Sit-Ups (Moderate),3.8,Core,Medium,15
Slow Burpee (General),5.5,Full Body,Medium,15
Squat,5.5,Lower Body,Medium,15
Stairway to Heaven,8.0,Lower Body,High,20
Standing Calf Raise,5.0,Lower Body,Medium,15
Stationary Bike (Vigorous),10.5,Lower Body,High,20
Stationary Biking (161-200 Watts),11.0,Lower Body,High,20
Stationary Biking (30-50 Watts),3.5,Lower Body,Medium,15
Stationary Biking (90-100 Watts),6.8,Lower Body,High,20
Stationary Biking (Light),5.5,Lower Body,Medium,15
Step Box,5.5,Lower Body,Medium,15
Step Mill,7.0,Lower Body,High,20
Stiff-Leg Deadlift,8.0,Lower Body,High,20
Strength Training,5.5,Full Body,Medium,15
Stretching (Light),2.5,Full Body,Low,10
Superman Pose,5.0,Core,Medium,15
Superman Row,4.0,Core,Medium,15
Treadmill (Fast Walking),6.0,Lower Body,High,15
Treadmill (Running),9.0,Lower Body,High,20
Treadmill (Walking),4.5,Lower Body,Medium,15
Tricep Extension,5.0,Arms,Medium,15
Tricep Pushdown,5.0,Arms,Medium,15
TRX Exercise,7.0,Full Body,High,20
Upper Body Strength Training,5.5,Upper Body,Medium,15
W Extension,4.0,Upper Body,Medium,15
Walking,4.5,Lower Body,Medium,15
Walking Lunge,5.5,Lower Body,Medium,15
Wall Ball Shot,6.0,Full Body,High,15
Wall Squat,5.0,Lower Body,Medium,15
Weight Training (Moderate) ,5.0,Full Body,Medium,15
Wide Squat,5.5,Lower Body,Medium,15
Wild Lunge,5.5,Lower Body,Medium,15
Yoga,2.5,Full Body,Low,10
